Sr. Number,Gender,Education_Level_Simplified,Job Title,Age_simplified,Age,Years_of_Experience_CLEARED,Years_of_Experience,Salary_cleared,Salary,Country,Race,Seniority,Education_Level
26,Female,1,Social Media Specialist,Early Career,28,Junior Level,3,Low Salary,45000,Canada,White,0,Bachelor's
27,Female,2,Software Manager,Young Professionals,37,Senior Level,11,High Salary,110000,Australia,Asian,0,Master's
28,Male,1,Developer,Early Career,24,Fresher,1,Low Salary,40000,Australia,Asian,0,Bachelor's
29,Female,3,Consultant,Young Professionals,43,Senior Level,15,High Salary,140000,Canada,Black,1,PhD
30,Male,2,Product Designer,Early Career,33,Mid Level,6,Medium Salary,90000,China,Korean,0,Master's
31,Male,1,CEO,Senior Professionals,50,Expert Level,25,Very High Salary,250000,Canada,Asian,0,Bachelor's
32,Female,1,Accountant,Early Career,31,Junior Level,4,Medium Salary,55000,UK,White,0,Bachelor's
33,Male,2,Data Scientist,Early Career,29,Junior Level,3,Medium Salary,75000,USA,Hispanic,0,Master's
34,Female,1,Marketing Specialist,Young Professionals,39,Mid Level,10,Medium Salary,65000,Canada,White,0,Bachelor's
35,Male,3,Manager,Senior Professionals,46,Lead Level,20,Very High Salary,170000,USA,Hispanic,1,PhD
36,Male,1,Technical Writer,Early Career,27,Fresher,2,Low Salary,45000,Australia,Asian,0,Bachelor's
37,Female,1,HR Generalist,Young Professionals,35,Mid Level,7,Medium Salary,60000,UK,White,0,Bachelor's
38,Male,2,Project Engineer,Young Professionals,42,Senior Level,14,High Salary,115000,China,White,0,Master's
39,Female,1,Customer Success Rep,Early Career,26,Fresher,1,Low Salary,40000,Canada,Asian,0,Bachelor's
40,Male,1,Sales Executive,Senior Professionals,49,Expert Level,21,Very High Salary,160000,China,White,0,Bachelor's
41,Female,2,UX Designer,Early Career,34,Junior Level,5,Medium Salary,80000,UK,Asian,0,Master's
42,Male,2,Operations Director,Senior Professionals,48,Lead Level,18,Very High Salary,190000,Canada,Black,0,Master's
43,Male,1,Network Engineer,Early Career,30,Junior Level,3,Medium Salary,60000,China,Korean,0,Bachelor's
44,Female,1,Administrative Assistant,Young Professionals,36,Mid Level,8,Low Salary,45000,UK,Asian,0,Bachelor's
45,Male,2,Strategy Consultant,Young Professionals,41,Senior Level,13,High Salary,130000,UK,Asian,0,Master's
46,Female,1,Copywriter,Early Career,28,Fresher,2,Low Salary,40000,USA,White,0,Bachelor's
47,Male,1,Account Manager,Early Career,32,Junior Level,5,Medium Salary,75000,Australia,Asian,0,Bachelor's
48,Female,2,Director of Marketing,Senior Professionals,45,Lead Level,16,Very High Salary,180000,UK,Welsh,0,Master's
49,Male,3,Scientist,Young Professionals,38,Senior Level,11,High Salary,120000,Australia,Asian,1,PhD
50,Male,1,Help Desk Analyst,Early Career,25,Fresher,0,Low Salary,35000,USA,Asian,0,Bachelor's
51,Female,1,Customer Service Manager,Senior Professionals,51,Expert Level,22,High Salary,130000,China,Korean,0,Bachelor's
52,Male,2,Business Intelligence Analyst,Early Career,33,Mid Level,7,Medium Salary,85000,Australia,Australian,0,Master's
53,Female,1,Event Coordinator,Young Professionals,40,Senior Level,12,Medium Salary,60000,China,White,0,Bachelor's
54,Male,2,VP of Finance,Senior Professionals,47,Lead Level,19,Very High Salary,200000,Australia,Asian,0,Master's
55,Female,1,Graphic Designer,Early Career,29,Junior Level,3,Invalid,50000,Canada,Black,0,Bachelor's
56,Male,1,Sales Manager,Young Professionals,36,Mid Level,9,Medium Salary,95000,China,Korean,0,Bachelor's
57,Female,2,UX Researcher,Early Career,27,Fresher,2,Medium Salary,65000,Canada,White,0,Master's
58,Male,3,Engineer,Young Professionals,43,Lead Level,17,High Salary,140000,USA,Hispanic,1,PhD
59,Female,1,Social Media Manager,Early Career,30,Junior Level,4,Medium Salary,55000,Canada,White,0,Bachelor's
60,Male,2,Product Manager,Young Professionals,35,Mid Level,7,High Salary,105000,Canada,Asian,0,Master's
61,Female,2,Director of Operations,Senior Professionals,51,Expert Level,23,Very High Salary,170000,USA,African American,0,Master's
62,Male,1,Marketing Analyst,Early Career,29,Junior Level,3,Invalid,50000,China,Chinese,0,Bachelor's
63,Female,1,HR Manager,Young Professionals,40,Senior Level,12,Medium Salary,80000,China,Korean,0,Bachelor's
64,Male,3,Data Scientist,Senior Professionals,47,Expert Level,21,Very High Salary,180000,China,White,1,PhD
65,Male,1,Accountant,Early Career,26,Fresher,1,Low Salary,35000,Australia,Australian,0,Bachelor's
66,Female,2,Digital Marketing Manager,Young Professionals,38,Mid Level,10,Medium Salary,90000,China,Korean,0,Master's
67,Male,1,IT Manager,Senior Professionals,46,Lead Level,19,High Salary,120000,Australia,Australian,0,Bachelor's
68,Female,1,Customer Service Representative,Early Career,31,Junior Level,5,Low Salary,45000,Canada,Asian,0,Bachelor's
69,Male,2,Business Development Manager,Early Career,34,Mid Level,8,Medium Salary,90000,Canada,Asian,0,Master's
70,Female,2,Financial Analyst,Senior Professionals,49,Lead Level,18,High Salary,150000,Canada,White,1,Master's
71,Male,1,Web Developer,Early Career,33,Mid Level,6,Medium Salary,65000,USA,Hispanic,0,Bachelor's
72,Female,1,Recruiter,Young Professionals,39,Senior Level,11,Medium Salary,70000,USA,Asian,0,Bachelor's
73,Male,3,Research Director,Senior Professionals,45,Lead Level,16,Very High Salary,190000,UK,Mixed,0,PhD
74,Male,1,Technical Support Specialist,Early Career,28,Fresher,2,Low Salary,40000,China,Korean,0,Bachelor's
75,Female,2,Creative Director,Young Professionals,42,Senior Level,14,High Salary,120000,Canada,Black,0,Master's
76,Male,1,Project Manager,Young Professionals,37,Mid Level,10,Medium Salary,95000,USA,Asian,0,Bachelor's
77,Female,1,Operations Manager,Senior Professionals,50,Expert Level,22,Very High Salary,160000,USA,White,0,Bachelor's
78,Male,2,Software Engineer,Early Career,32,Mid Level,6,Medium Salary,100000,USA,African American,1,Master's
79,Female,2,Human Resources Director,Senior Professionals,48,Lead Level,20,Very High Salary,180000,Canada,Black,0,Master's
80,Female,1,Content Marketing Manager,Early Career,30,Junior Level,3,Medium Salary,55000,Australia,White,0,Bachelor's
81,Male,1,Technical Recruiter,Young Professionals,36,Mid Level,8,Medium Salary,70000,UK,Asian,0,Bachelor's
82,Female,2,Data Analyst,Young Professionals,41,Senior Level,13,Medium Salary,80000,USA,White,0,Master's
83,Male,1,Sales Representative,Early Career,25,Fresher,0,Low Salary,30000,Australia,Asian,0,Bachelor's
84,Male,3,Chief Technology Officer,Senior Professionals,52,Expert Level,24,Very High Salary,250000,Canada,Black,0,PhD
85,Female,1,Designer,Early Career,29,Fresher,2,Low Salary,40000,Australia,Asian,0,Bachelor's
86,Female,2,Financial Advisor,Early Career,34,Mid Level,10,Medium Salary,95000,UK,White,0,Master's
87,Male,1,Account Manager,Early Career,27,Fresher,2,Low Salary,45000,Canada,White,0,Bachelor's
88,Female,1,HR Generalist,Young Professionals,40,Senior Level,15,Medium Salary,80000,USA,Hispanic,0,Bachelor's
89,Male,2,Project Manager,Senior Professionals,46,Expert Level,21,High Salary,135000,Canada,Asian,1,Master's
90,Female,1,Marketing Coordinator,Early Career,31,Mid Level,6,Medium Salary,55000,Australia,Asian,0,Bachelor's
91,Male,3,Principal Scientist,Young Professionals,36,Senior Level,11,High Salary,120000,UK,Mixed,0,PhD
92,Female,1,Sales Associate,Early Career,29,Junior Level,3,Low Salary,40000,China,White,0,Bachelor's
93,Male,1,Supply Chain Manager,Young Professionals,43,Lead Level,18,High Salary,105000,UK,Welsh,0,Bachelor's
94,Female,2,Marketing Manager,Senior Professionals,52,Expert Level,25,Very High Salary,170000,China,Chinese,1,Master's
95,Male,1,Business Analyst,Early Career,33,Mid Level,7,Medium Salary,75000,Australia,Australian,0,Bachelor's
96,Female,1,Training Specialist,Young Professionals,39,Senior Level,12,Medium Salary,65000,USA,African American,0,Bachelor's
97,Male,3,Research Scientist,Senior Professionals,47,Expert Level,22,Very High Salary,160000,Australia,Asian,0,PhD
98,Male,1,Software Developer,Early Career,26,Fresher,1,Low Salary,35000,China,White,0,Bachelor's
99,Female,2,Public Relations Manager,Young Professionals,38,Mid Level,10,Medium Salary,90000,UK,Asian,0,Master's
100,Male,1,Operations Analyst,Senior Professionals,45,Lead Level,20,High Salary,110000,China,Chinese,0,Bachelor's
101,Female,1,Event Coordinator,Early Career,31,Junior Level,5,Low Salary,45000,Australia,Asian,0,Bachelor's
102,Male,2,Product Marketing Manager,Young Professionals,35,Mid Level,8,Medium Salary,95000,China,White,0,Master's
103,Female,2,HR Manager,Senior Professionals,49,Lead Level,19,High Salary,150000,Australia,White,1,Master's
104,Male,1,Web Developer,Early Career,33,Junior Level,5,Invalid,50000,Canada,Asian,0,Bachelor's
105,Female,2,Project Coordinator,Young Professionals,39,Senior Level,13,Medium Salary,80000,UK,Welsh,1,Master's
106,Male,3,Chief Data Officer,Young Professionals,44,Lead Level,16,Very High Salary,220000,USA,African American,0,PhD
107,Female,1,Digital Content Producer,Early Career,30,Junior Level,3,Invalid,50000,UK,White,0,Bachelor's
108,Male,1,IT Support Specialist,Young Professionals,36,Mid Level,7,Medium Salary,60000,USA,Asian,0,Bachelor's
109,Female,2,Marketing Analyst,Young Professionals,41,Senior Level,14,Medium Salary,100000,USA,White,1,Master's
110,Male,1,Customer Success Manager,Early Career,28,Fresher,2,Low Salary,40000,USA,Hispanic,0,Bachelor's
111,Female,2,Graphic Designer,Young Professionals,42,Senior Level,15,High Salary,110000,USA,Asian,1,Master's
112,Male,1,Software Project Manager,Young Professionals,37,Mid Level,9,Medium Salary,95000,UK,White,0,Bachelor's
113,Female,1,Supply Chain Analyst,Senior Professionals,50,Expert Level,22,High Salary,130000,UK,Welsh,0,Bachelor's
114,Male,2,Business Analyst,Early Career,32,Mid Level,6,Medium Salary,90000,USA,Asian,1,Master's
115,Female,1,Marketing Analyst,Early Career,23,Fresher,0.5,Low Salary,35000,USA,White,0,Bachelor's
116,Male,2,Financial Analyst,Early Career,31,Mid Level,6,Medium Salary,95000,Australia,Asian,1,Master's
117,Female,1,Office Manager,Young Professionals,40,Senior Level,15,Medium Salary,65000,USA,White,0,Bachelor's
118,Male,3,Principal Engineer,Senior Professionals,48,Lead Level,20,Very High Salary,170000,USA,Hispanic,0,PhD
119,Female,1,HR Generalist,Early Career,29,Junior Level,3,Low Salary,45000,Australia,Australian,0,Bachelor's
120,Male,2,Product Manager,Young Professionals,35,Mid Level,10,High Salary,120000,Canada,White,1,Master's
121,Female,1,Sales Manager,Young Professionals,42,Lead Level,17,Medium Salary,100000,China,Korean,0,Bachelor's
122,Male,2,Director of Marketing,Senior Professionals,53,Expert Level,25,Very High Salary,180000,UK,Mixed,0,Master's
123,Female,1,Operations Analyst,Early Career,33,Junior Level,5,Invalid,50000,Australia,Australian,0,Bachelor's
124,Male,1,Customer Service Manager,Young Professionals,38,Senior Level,11,Medium Salary,80000,China,White,0,Bachelor's
125,Female,3,Scientist,Young Professionals,44,Lead Level,16,High Salary,140000,UK,Mixed,1,PhD
126,Male,1,Accountant,Early Career,26,Fresher,2,Low Salary,40000,UK,White,0,Bachelor's
127,Female,2,HR Generalist,Young Professionals,37,Mid Level,9,Medium Salary,95000,USA,African American,1,Master's
128,Male,1,Sales Operations Manager,Senior Professionals,45,Lead Level,18,High Salary,110000,UK,White,0,Bachelor's
129,Female,1,Marketing Coordinator,Early Career,32,Junior Level,4,Invalid,50000,USA,White,0,Bachelor's
130,Male,2,Software Developer,Early Career,34,Mid Level,8,High Salary,105000,Canada,White,1,Master's
131,Female,2,Director of Operations,Senior Professionals,50,Expert Level,21,Very High Salary,160000,UK,White,0,Master's
132,Male,1,Web Designer,Early Career,29,Junior Level,3,Low Salary,45000,China,White,0,Bachelor's
133,Female,2,Training Specialist,Young Professionals,40,Senior Level,12,Medium Salary,100000,Canada,Black,1,Master's
134,Male,3,Research Scientist,Senior Professionals,47,Expert Level,22,Very High Salary,160000,USA,Hispanic,1,PhD
135,Male,1,Sales Representative,Early Career,27,Fresher,1,Low Salary,35000,UK,Mixed,0,Bachelor's
136,Female,1,Administrative Assistant,Young Professionals,39,Mid Level,10,Medium Salary,55000,Canada,Black,0,Bachelor's
137,Male,2,Project Manager,Senior Professionals,46,Lead Level,19,High Salary,140000,Canada,Black,1,Master's
138,Female,1,Marketing Manager,Early Career,30,Junior Level,4,Invalid,50000,Canada,White,0,Bachelor's
139,Male,1,Data Analyst,Young Professionals,36,Mid Level,7,Medium Salary,60000,Australia,Asian,0,Bachelor's
140,Female,2,Product Marketing Manager,Young Professionals,43,Senior Level,14,High Salary,120000,Australia,White,1,Master's
141,Male,1,Business Analyst,Early Career,28,Fresher,2,Low Salary,40000,USA,White,0,Bachelor's
142,Female,2,Marketing Manager,Young Professionals,41,Senior Level,13,High Salary,110000,Australia,Australian,1,Master's
143,Male,1,Software Developer,Early Career,33,Junior Level,5,Invalid,50000,USA,Hispanic,0,Bachelor's
144,Male,1,Sales Manager,Senior Professionals,47,Lead Level,20,High Salary,135000,China,White,1,Bachelor's
145,Female,2,Marketing Specialist,Early Career,25,Fresher,1.5,Low Salary,40000,Australia,Asian,0,Master's
146,Male,1,Business Analyst,Early Career,34,Mid Level,8,Medium Salary,90000,Australia,Asian,1,Bachelor's
147,Female,3,Data Scientist,Young Professionals,42,Lead Level,16,High Salary,150000,China,Chinese,1,PhD
148,Male,1,Project Manager,Early Career,31,Junior Level,4,Medium Salary,60000,UK,Welsh,0,Bachelor's
149,Female,1,Accountant,Young Professionals,38,Mid Level,10,Medium Salary,80000,USA,African American,1,Bachelor's
150,Male,2,Director of Sales,Senior Professionals,45,Lead Level,19,Very High Salary,175000,Canada,Black,0,Master's
151,Female,1,Recruiter,Early Career,29,Junior Level,3,Low Salary,45000,Australia,Australian,0,Bachelor's
152,Male,2,Business Development Manager,Young Professionals,36,Senior Level,11,High Salary,120000,Canada,Black,1,Master's
153,Female,3,Product Designer,Young Professionals,43,Lead Level,18,High Salary,140000,Australia,Asian,1,PhD
154,Male,1,Customer Support Specialist,Early Career,26,Fresher,2,Low Salary,35000,USA,Asian,0,Bachelor's
155,Female,2,Marketing Analyst,Young Professionals,37,Mid Level,9,Medium Salary,95000,Canada,White,1,Master's
156,Male,1,IT Support Specialist,Young Professionals,44,Senior Level,14,High Salary,110000,USA,African American,1,Bachelor's
157,Female,1,Financial Analyst,Early Career,32,Junior Level,5,Invalid,50000,USA,Asian,0,Bachelor's
158,Male,2,Operations Manager,Early Career,33,Mid Level,7,High Salary,115000,China,Korean,1,Master's
159,Female,3,Director of Human Resources,Senior Professionals,51,Expert Level,23,Very High Salary,185000,China,Chinese,0,PhD
160,Male,1,Software Engineer,Early Career,28,Fresher,2,Low Salary,40000,Australia,White,0,Bachelor's
161,Female,1,Sales Representative,Young Professionals,39,Senior Level,12,Medium Salary,90000,USA,Asian,1,Bachelor's
162,Male,2,Director of Product Management,Senior Professionals,48,Expert Level,21,Very High Salary,175000,USA,Asian,0,Master's
163,Female,1,Copywriter,Early Career,30,Junior Level,3,Low Salary,45000,UK,Mixed,0,Bachelor's
164,Male,1,Marketing Coordinator,Young Professionals,35,Mid Level,7,Medium Salary,80000,China,White,1,Bachelor's
165,Female,2,Human Resources Manager,Young Professionals,41,Senior Level,13,High Salary,120000,China,Korean,1,Master's
166,Male,1,Business Development Associate,Early Career,27,Fresher,1.5,Low Salary,35000,China,White,0,Bachelor's
167,Female,1,Account Manager,Young Professionals,40,Senior Level,14,High Salary,110000,Australia,Australian,1,Bachelor's
168,Male,3,Researcher,Senior Professionals,46,Lead Level,18,High Salary,150000,Canada,Black,1,PhD
169,Female,1,HR Coordinator,Early Career,31,Junior Level,4,Invalid,50000,China,Korean,0,Bachelor's
170,Male,2,Software Engineer,Early Career,34,Mid Level,9,High Salary,105000,China,Korean,1,Master's
171,Female,2,Director of Finance,Senior Professionals,50,Lead Level,20,Very High Salary,180000,Australia,Australian,0,Master's
172,Male,1,Marketing Coordinator,Early Career,29,Fresher,2,Low Salary,40000,Canada,Asian,0,Bachelor's
173,Male,1,Project Manager,Young Professionals,43,Lead Level,16,High Salary,140000,UK,White,1,Master's
174,Female,2,Data Scientist,Early Career,26,Fresher,1.5,Low Salary,45000,Canada,Asian,0,Bachelor's
175,Male,1,Operations Analyst,Young Professionals,35,Mid Level,7,Medium Salary,85000,China,White,1,Master's
176,Female,3,Marketing Manager,Young Professionals,42,Lead Level,18,High Salary,140000,UK,Asian,1,Bachelor's
177,Male,1,Accountant,Early Career,31,Junior Level,4,Invalid,50000,UK,Welsh,0,PhD
178,Female,1,Human Resources Coordinator,Young Professionals,38,Mid Level,10,Medium Salary,80000,UK,Asian,1,Bachelor's
179,Male,2,Director of Operations,Senior Professionals,46,Lead Level,20,Very High Salary,170000,USA,Asian,0,Bachelor's
180,Female,1,Sales Representative,Early Career,29,Fresher,2,Low Salary,40000,UK,Welsh,0,Master's
181,Male,2,Business Analyst,Young Professionals,37,Mid Level,9,High Salary,105000,China,Chinese,1,Bachelor's
182,Female,3,UX Designer,Young Professionals,44,Senior Level,15,High Salary,145000,USA,Hispanic,1,Master's
183,Male,1,Product Manager,Early Career,27,Fresher,2,Low Salary,40000,USA,Hispanic,0,PhD
184,Female,1,Marketing Specialist,Young Professionals,36,Mid Level,8,Medium Salary,85000,USA,African American,1,Bachelor's
185,Male,1,IT Project Manager,Young Professionals,43,Senior Level,14,High Salary,130000,China,Chinese,1,Bachelor's
186,Female,2,Financial Analyst,Early Career,33,Mid Level,6,Medium Salary,95000,Canada,White,1,Bachelor's
187,Male,1,Quality Assurance Analyst,Early Career,34,Mid Level,9,Medium Salary,100000,UK,Mixed,1,Master's
188,Female,3,Director of Sales and Marketing,Senior Professionals,50,Expert Level,22,Very High Salary,180000,China,Korean,0,Bachelor's
189,Male,1,Operations Analyst,Early Career,28,Fresher,1.5,Low Salary,35000,UK,Welsh,0,PhD
190,Female,1,Account Executive,Young Professionals,39,Senior Level,12,Medium Salary,95000,USA,African American,1,Bachelor's
191,Male,2,Director of Business Development,Senior Professionals,47,Lead Level,19,Very High Salary,170000,Australia,Asian,0,Bachelor's
192,Female,1,Social Media Manager,Early Career,30,Junior Level,3,Low Salary,45000,Australia,Australian,0,Master's
193,Male,1,Product Manager,Early Career,34,Mid Level,7,Medium Salary,95000,China,Chinese,1,Bachelor's
194,Female,2,Human Resources Specialist,Young Professionals,40,Senior Level,13,High Salary,120000,UK,Welsh,1,Bachelor's
195,Male,1,Business Analyst,Early Career,28,Fresher,2,Low Salary,40000,USA,African American,0,Master's
196,Female,1,Marketing Coordinator,Young Professionals,41,Senior Level,11,Medium Salary,90000,Canada,Asian,1,Bachelor's
197,Male,3,Data Analyst,Senior Professionals,45,Lead Level,17,Very High Salary,155000,UK,Asian,1,Bachelor's
198,Female,1,Account Manager,Early Career,32,Junior Level,5,Medium Salary,55000,Australia,Asian,0,PhD
199,Male,2,Software Developer,Young Professionals,35,Mid Level,9,High Salary,110000,Canada,Asian,1,Bachelor's
200,Female,2,Director of Human Capital,Senior Professionals,49,Expert Level,21,Very High Salary,180000,UK,Mixed,0,Master's
201,Male,1,Advertising Coordinator,Early Career,30,Junior Level,3,Low Salary,45000,UK,White,0,Master's
202,Male,1,Sales Manager,Young Professionals,44,Lead Level,16,High Salary,130000,USA,Asian,1,Bachelor's
203,Female,2,UX Designer,Early Career,27,Fresher,1.5,Low Salary,45000,USA,Hispanic,0,Bachelor's
204,Male,1,Accountant,Young Professionals,36,Mid Level,7,Medium Salary,90000,Canada,White,1,Master's
205,Female,3,Marketing Director,Young Professionals,41,Lead Level,17,Very High Salary,160000,UK,Mixed,1,Bachelor's
206,Male,1,HR Generalist,Early Career,31,Junior Level,4,Invalid,50000,China,Chinese,0,PhD
207,Female,1,Operations Manager,Young Professionals,39,Mid Level,10,High Salary,120000,Australia,Asian,1,Bachelor's
208,Male,2,Director of Finance,Senior Professionals,47,Lead Level,20,Very High Salary,170000,Australia,Australian,0,Bachelor's
209,Female,1,Marketing Coordinator,Early Career,30,Fresher,2,Low Salary,40000,China,Korean,0,Master's
210,Male,2,IT Consultant,Young Professionals,38,Mid Level,9,High Salary,110000,China,White,1,Bachelor's
211,Female,3,Product Designer,Senior Professionals,45,Senior Level,15,High Salary,150000,China,Chinese,1,Master's
212,Male,1,Business Development Associate,Early Career,28,Fresher,2,Low Salary,40000,USA,Asian,0,PhD
213,Female,1,Marketing Analyst,Young Professionals,35,Mid Level,8,Medium Salary,85000,USA,White,1,Bachelor's
214,Male,1,Software Engineer,Young Professionals,44,Senior Level,14,High Salary,130000,China,Chinese,1,Bachelor's
215,Female,2,Financial Advisor,Early Career,34,Mid Level,6,Medium Salary,100000,UK,Welsh,1,Bachelor's
216,Male,1,Project Coordinator,Young Professionals,35,Mid Level,9,Medium Salary,95000,Canada,White,1,Master's
217,Female,3,Director of Operations,Senior Professionals,50,Expert Level,22,Very High Salary,180000,Australia,Australian,0,Bachelor's
218,Male,1,Business Operations Analyst,Early Career,29,Fresher,1.5,Low Salary,35000,UK,Asian,0,PhD
219,Female,1,Sales Representative,Young Professionals,40,Senior Level,12,Medium Salary,100000,China,Chinese,1,Bachelor's
220,Male,2,Director of Marketing,Senior Professionals,48,Lead Level,19,Very High Salary,170000,USA,Hispanic,0,Bachelor's
221,Female,1,Social Media Specialist,Early Career,31,Junior Level,3,Low Salary,45000,UK,Welsh,0,Master's
222,Male,1,Product Development Manager,Early Career,33,Mid Level,7,Medium Salary,100000,USA,Hispanic,1,Bachelor's
223,Female,2,Human Resources Manager,Young Professionals,42,Senior Level,13,High Salary,140000,China,White,1,Bachelor's
224,Male,1,Financial Analyst,Early Career,28,Fresher,2,Low Salary,40000,Australia,Australian,0,Master's
225,Female,1,Marketing Manager,Young Professionals,40,Senior Level,11,High Salary,105000,UK,White,1,Bachelor's
226,Male,3,Data Scientist,Senior Professionals,46,Lead Level,18,Very High Salary,160000,Canada,White,1,Bachelor's
227,Female,1,Operations Manager,Early Career,33,Junior Level,5,Medium Salary,70000,Australia,Asian,0,PhD
228,Male,2,Software Architect,Young Professionals,37,Mid Level,9,High Salary,120000,Australia,Australian,1,Bachelor's
229,Female,2,Director of Human Resources,Senior Professionals,51,Expert Level,21,Very High Salary,190000,USA,Hispanic,0,Master's
230,Male,1,Marketing Specialist,Early Career,30,Junior Level,3,Low Salary,45000,Canada,Black,0,Master's
231,Male,1,Project Manager,Young Professionals,43,Senior Level,15,High Salary,120000,Canada,Asian,1,Bachelor's
232,Female,2,Research Scientist,Early Career,27,Fresher,1.5,Invalid,50000,China,White,0,Bachelor's
233,Male,1,Operations Analyst,Young Professionals,35,Mid Level,8,Medium Salary,85000,Canada,White,1,Master's
234,Female,3,Marketing Manager,Young Professionals,42,Senior Level,13,High Salary,140000,Canada,White,1,Bachelor's
235,Male,1,Sales Representative,Early Career,32,Junior Level,3,Low Salary,45000,Australia,White,0,PhD
236,Female,1,Financial Analyst,Young Professionals,37,Mid Level,9,Medium Salary,100000,UK,Welsh,1,Bachelor's
237,Male,2,Software Developer,Senior Professionals,45,Lead Level,16,High Salary,140000,Australia,Asian,1,Bachelor's
238,Female,1,Operations Analyst,Early Career,33,Junior Level,5,Medium Salary,70000,Canada,Asian,0,Master's
239,Male,1,Marketing Specialist,Young Professionals,39,Mid Level,10,High Salary,120000,Canada,Black,1,Bachelor's
240,Female,3,HR Manager,Young Professionals,44,Lead Level,18,Very High Salary,160000,Canada,White,1,Bachelor's
241,Male,1,Business Analyst,Early Career,29,Fresher,1.5,Low Salary,40000,Australia,Australian,0,PhD
242,Female,1,Product Manager,Young Professionals,38,Mid Level,10,High Salary,120000,China,Korean,1,Bachelor's
243,Male,3,Data Analyst,Senior Professionals,46,Lead Level,19,High Salary,150000,UK,Asian,1,Bachelor's
244,Female,1,Marketing Analyst,Early Career,34,Mid Level,6,Medium Salary,70000,USA,Asian,0,PhD
245,Male,1,Operations Manager,Young Professionals,36,Mid Level,8,Medium Salary,95000,USA,White,1,Bachelor's
246,Female,2,Director of Marketing,Senior Professionals,49,Expert Level,21,Very High Salary,180000,Canada,White,0,Bachelor's
247,Male,1,Financial Analyst,Early Career,31,Junior Level,3,Invalid,50000,Canada,Black,0,Master's
248,Female,1,Project Coordinator,Young Professionals,41,Senior Level,11,Medium Salary,95000,USA,African American,1,Bachelor's
249,Male,2,Director of Operations,Senior Professionals,47,Lead Level,20,Very High Salary,170000,Canada,White,0,Bachelor's
250,Female,1,Marketing Coordinator,Early Career,30,Fresher,2,Low Salary,40000,USA,White,0,Master's
251,Male,2,IT Consultant,Young Professionals,38,Mid Level,9,High Salary,110000,Australia,Australian,1,Bachelor's
252,Female,3,Product Designer,Senior Professionals,45,Senior Level,15,High Salary,150000,China,Korean,1,Master's
253,Male,1,Business Development Associate,Early Career,28,Fresher,2,Low Salary,40000,USA,Asian,0,PhD
254,Female,1,Marketing Analyst,Young Professionals,35,Mid Level,8,Medium Salary,85000,Canada,White,1,Bachelor's
